"Gene","Gene.symbol","Median.expr","PCC"
"ENSG00000161558","TMEM143",5.3,0.781491958719638
"ENSG00000104812","GYS1",18.4,0.776823491676235
"ENSG00000091640","SPAG7",52.5,0.750324116550454
"ENSG00000165912","PACSIN3",21.4,0.788301919426231
"ENSG00000109390","NDUFC1",15.9,0.725451548513155
"ENSG00000143164","DCAF6",24.6,0.780991140335411
"ENSG00000079739","PGM1",33.7,0.813424092210501
"ENSG00000106554","CHCHD3",27.4,0.779875301608733
"ENSG00000122367","LDB3",8.9,0.746388609062517
"ENSG00000160392","C19orf47",7.7,0.7451973676508
"ENSG00000140990","NDUFB10",133.3,0.710751579447107
"ENSG00000082641","NFE2L1",109.7,0.762035585486632
"ENSG00000169714","CNBP",252.8,0.858808761662002
"ENSG00000009307","CSDE1",197.9,0.793748951922684
"ENSG00000146701","MDH2",69.8,0.769175886521192
"ENSG00000165526","RPUSD4",11,0.822181261501401
"ENSG00000161281","COX7A1",86.6,0.727409820909143
"ENSG00000186432","KPNA4",11.1,0.832494260686532
"ENSG00000185100","ADSS1",6.5,0.788202383701204
"ENSG00000179262","RAD23A",67,0.787285752069564
"ENSG00000099341","PSMD8",110.8,0.80820280715035
"ENSG00000178104","PDE4DIP",32.4,0.700294383107278
"ENSG00000084754","HADHA",64.7,0.819087546145829
"ENSG00000163050","COQ8A",12.8,0.828746867323843
"ENSG00000013563","DNASE1L1",14.2,0.825945895991401
"ENSG00000171992","SYNPO",31.7,0.790754104631535
"ENSG00000123240","OPTN",50.8,0.811004764805505
"ENSG00000101605","MYOM1",5.4,0.747949994473548
"ENSG00000064726","BTBD1",34.5,0.67226127027275
"ENSG00000111640","GAPDH",1693.2,0.705899760358701
"ENSG00000132155","RAF1",41.9,0.837275451338031
"ENSG00000185437","SH3BGR",16.4,0.749191161428477
"ENSG00000119929","CUTC",20.4,0.765785088028878
"ENSG00000116906","GNPAT",23.8,0.715732298239351
"ENSG00000175701","MTLN",51.3,0.77241611291468
"ENSG00000119938","PPP1R3C",17.6,0.759543290612944
"ENSG00000100764","PSMC1",55.7,0.8230951088372
"ENSG00000072401","UBE2D1",8.1,0.810579591148518
"ENSG00000112186","CAP2",9.7,0.728176519542372
