"Gene","Gene.symbol"
"ENSG00000161558","TMEM143"
"ENSG00000104812","GYS1"
"ENSG00000091640","SPAG7"
"ENSG00000165912","PACSIN3"
"ENSG00000165192","ASB11"
"ENSG00000109390","NDUFC1"
"ENSG00000163380","LMOD3"
"ENSG00000163827","LRRC2"
"ENSG00000138347","MYPN"
"ENSG00000164440","TXLNB"
"ENSG00000115593","SMYD1"
"ENSG00000073711","PPP2R3A"
"ENSG00000143164","DCAF6"
"ENSG00000079739","PGM1"
"ENSG00000186439","TRDN"
"ENSG00000154415","PPP1R3A"
"ENSG00000174429","ABRA"
"ENSG00000077522","ACTN2"
"ENSG00000106554","CHCHD3"
"ENSG00000122367","LDB3"
"ENSG00000146809","ASB15"
"ENSG00000160392","C19orf47"
"ENSG00000114854","TNNC1"
"ENSG00000187642","PERM1"
"ENSG00000163092","XIRP2"
"ENSG00000197893","NRAP"
"ENSG00000198125","MB"
"ENSG00000214097","SMCO1"
"ENSG00000140990","NDUFB10"
"ENSG00000082641","NFE2L1"
"ENSG00000169714","CNBP"
"ENSG00000009307","CSDE1"
"ENSG00000146701","MDH2"
"ENSG00000187715","KBTBD12"
"ENSG00000164708","PGAM2"
"ENSG00000165526","RPUSD4"
"ENSG00000161281","COX7A1"
"ENSG00000239388","ASB14"
"ENSG00000186432","KPNA4"
"ENSG00000108823","SGCA"
"ENSG00000140986","RPL3L"
"ENSG00000173991","TCAP"
"ENSG00000185100","ADSS1"
"ENSG00000155657","TTN"
"ENSG00000092054","MYH7"
"ENSG00000179262","RAD23A"
"ENSG00000029534","ANK1"
"ENSG00000099341","PSMD8"
"ENSG00000116981","NT5C1A"
"ENSG00000178104","PDE4DIP"
"ENSG00000084754","HADHA"
"ENSG00000182533","CAV3"
"ENSG00000267060","PTGES3L"
"ENSG00000163050","COQ8A"
"ENSG00000013563","DNASE1L1"
"ENSG00000171992","SYNPO"
"ENSG00000123240","OPTN"
"ENSG00000143028","SYPL2"
"ENSG00000101605","MYOM1"
"ENSG00000064726","BTBD1"
"ENSG00000111640","GAPDH"
"ENSG00000132155","RAF1"
"ENSG00000124701","APOBEC2"
"ENSG00000185437","SH3BGR"
"ENSG00000119929","CUTC"
"ENSG00000116906","GNPAT"
"ENSG00000175701","MTLN"
"ENSG00000185739","SRL"
"ENSG00000119938","PPP1R3C"
"ENSG00000100764","PSMC1"
"ENSG00000183785","TUBA8"
"ENSG00000165887","ANKRD2"
"ENSG00000170290","SLN"
"ENSG00000141965","FEM1A"
"ENSG00000072401","UBE2D1"
"ENSG00000170681","CAVIN4"
"ENSG00000112186","CAP2"
"ENSG00000198881","ASB12"
"ENSG00000167549","CORO6"
